time_unix, id, temperature_raw, temperature_celsius, humidity_raw, humidity_percent
1695086893, 10, 26648, 27.091675, 30992, 47.290039
1695086894, 10, 26644, 27.081604, 30972, 47.259521
1695086895, 10, 26644, 27.081604, 30996, 47.296143
1695086896, 10, 26648, 27.091675, 30980, 47.271729
1695086897, 10, 26648, 27.091675, 30976, 47.265625
1695086898, 10, 26648, 27.091675, 30992, 47.290039
1695086899, 10, 26644, 27.081604, 30960, 47.241211
1695086901, 10, 26644, 27.081604, 30996, 47.296143
1695086902, 10, 26648, 27.091675, 30992, 47.290039
1695086903, 10, 26648, 27.091675, 30980, 47.271729
1695086904, 10, 26644, 27.081604, 30980, 47.271729
1695086905, 10, 26652, 27.101746, 30952, 47.229004
1695086906, 10, 26648, 27.091675, 30992, 47.290039
1695086907, 10, 26648, 27.091675, 30988, 47.283936
1695086908, 10, 26648, 27.091675, 30988, 47.283936
1695086909, 10, 26648, 27.091675, 31000, 47.302246
1695086910, 10, 26644, 27.081604, 30996, 47.296143
1695086911, 10, 26648, 27.091675, 31000, 47.302246
1695086912, 10, 26648, 27.091675, 31004, 47.308350
1695086913, 10, 26652, 27.101746, 31008, 47.314453
1695086914, 10, 26652, 27.101746, 30988, 47.283936
1695086915, 10, 26644, 27.081604, 31012, 47.320557
1695086916, 10, 26652, 27.101746, 30988, 47.283936
1695086917, 10, 26644, 27.081604, 31024, 47.338867
1695086918, 10, 26648, 27.091675, 31000, 47.302246
1695086919, 10, 26648, 27.091675, 31016, 47.326660
1695086920, 10, 26648, 27.091675, 31032, 47.351074
1695086930, 10, 26652, 27.101746, 31016, 47.326660
1695086931, 10, 26648, 27.091675, 30988, 47.283936
1695086932, 10, 26640, 27.071533, 30980, 47.271729
1695086933, 10, 26644, 27.081604, 31012, 47.320557
1695086934, 10, 26648, 27.091675, 31016, 47.326660
1695086935, 10, 26648, 27.091675, 30992, 47.290039
1695086936, 10, 26652, 27.101746, 31012, 47.320557
1695086937, 10, 26644, 27.081604, 31016, 47.326660
1695086938, 10, 26644, 27.081604, 31000, 47.302246
1695086939, 10, 26644, 27.081604, 31008, 47.314453
1695086940, 10, 26648, 27.091675, 31012, 47.320557
1695086941, 10, 26644, 27.081604, 31040, 47.363281
1695086942, 10, 26644, 27.081604, 31032, 47.351074
1695086943, 10, 26656, 27.111816, 31020, 47.332764
1695086944, 10, 26652, 27.101746, 31016, 47.326660
1695086945, 10, 26648, 27.091675, 31024, 47.338867
