time_unix, id, temperature_raw, temperature_celsius, humidity_raw, humidity_percent
1695087711, 10, 26680, 27.172241, 31124, 47.491455
1695087712, 10, 26680, 27.172241, 31128, 47.497559
1695087713, 10, 26676, 27.162170, 31128, 47.497559
1695087724, 10, 26680, 27.172241, 31088, 47.436523
1695087725, 10, 26680, 27.172241, 31116, 47.479248
1695087726, 10, 26680, 27.172241, 31132, 47.503662
1695087727, 10, 26684, 27.182312, 31092, 47.442627
1695087728, 10, 26684, 27.182312, 31104, 47.460938
1695087729, 10, 26676, 27.162170, 31132, 47.503662
1695087730, 10, 26680, 27.172241, 31108, 47.467041
1695087731, 10, 26680, 27.172241, 31120, 47.485352
1695087732, 10, 26684, 27.182312, 31112, 47.473145
1695087733, 10, 26684, 27.182312, 31124, 47.491455
1695087734, 10, 26684, 27.182312, 31120, 47.485352
1695087735, 10, 26680, 27.172241, 31124, 47.491455
1695087736, 10, 26680, 27.172241, 31120, 47.485352
1695087737, 10, 26680, 27.172241, 31120, 47.485352
1695087738, 10, 26684, 27.182312, 31132, 47.503662
1695087739, 10, 26680, 27.172241, 31136, 47.509766
1695087740, 10, 26680, 27.172241, 31112, 47.473145
1695087741, 10, 26680, 27.172241, 31144, 47.521973
1695087742, 10, 26680, 27.172241, 31128, 47.497559
1695087743, 10, 26684, 27.182312, 31104, 47.460938
1695087744, 10, 26684, 27.182312, 31104, 47.460938
1695087745, 10, 26680, 27.172241, 31124, 47.491455
1695087746, 10, 26680, 27.172241, 31116, 47.479248
1695087747, 10, 26680, 27.172241, 31104, 47.460938
1695087748, 10, 26676, 27.162170, 31104, 47.460938
1695087749, 10, 26688, 27.192383, 31100, 47.454834
1695087750, 10, 26684, 27.182312, 31092, 47.442627
1695087751, 10, 26684, 27.182312, 31088, 47.436523
1695087764, 10, 26684, 27.182312, 31092, 47.442627
1695087765, 10, 26684, 27.182312, 31084, 47.430420
1695087766, 10, 26680, 27.172241, 31080, 47.424316
1695087767, 10, 26680, 27.172241, 31116, 47.479248
1695087768, 10, 26676, 27.162170, 31108, 47.467041
1695087769, 10, 26676, 27.162170, 31128, 47.497559
1695087770, 10, 26684, 27.182312, 31096, 47.448730
1695087771, 10, 26688, 27.192383, 31124, 47.491455
1695087772, 10, 26684, 27.182312, 31088, 47.436523
1695087773, 10, 26688, 27.192383, 31116, 47.479248
1695087774, 10, 26680, 27.172241, 31140, 47.515869
1695087775, 10, 26684, 27.182312, 31124, 47.491455
1695087776, 10, 26680, 27.172241, 31112, 47.473145
1695087777, 10, 26680, 27.172241, 31112, 47.473145
1695087778, 10, 26684, 27.182312, 31120, 47.485352
1695087779, 10, 26680, 27.172241, 31108, 47.467041
1695087780, 10, 26680, 27.172241, 31124, 47.491455
1695087781, 10, 26684, 27.182312, 31092, 47.442627
1695087782, 10, 26688, 27.192383, 31140, 47.515869
1695087783, 10, 26684, 27.182312, 31140, 47.515869
1695087784, 10, 26688, 27.192383, 31120, 47.485352
1695087785, 10, 26684, 27.182312, 31120, 47.485352
1695087786, 10, 26684, 27.182312, 31132, 47.503662
1695087787, 10, 26680, 27.172241, 31156, 47.540283
1695087788, 10, 26688, 27.192383, 31128, 47.497559
1695087789, 10, 26684, 27.182312, 31128, 47.497559
1695087790, 10, 26684, 27.182312, 31144, 47.521973
1695087791, 10, 26684, 27.182312, 31128, 47.497559
1695087801, 10, 26684, 27.182312, 31136, 47.509766
1695087802, 10, 26680, 27.172241, 31152, 47.534180
1695087803, 10, 26680, 27.172241, 31160, 47.546387
1695087804, 10, 26688, 27.192383, 31128, 47.497559
1695087806, 10, 26688, 27.192383, 31140, 47.515869
1695087807, 10, 26688, 27.192383, 31148, 47.528076
1695087808, 10, 26684, 27.182312, 31152, 47.534180
1695087809, 10, 26684, 27.182312, 31156, 47.540283
1695087810, 10, 26680, 27.172241, 31132, 47.503662
1695087811, 10, 26684, 27.182312, 31180, 47.576904
